iter	Passed	Remaining
0	0	67
1	1	74
2	2	82
3	3	81
4	4	81
5	5	82
6	6	83
7	7	82
8	8	81
9	8	80
10	9	79
11	10	78
12	11	75
13	12	74
14	12	73
15	13	72
16	14	70
17	15	69
18	15	68
19	16	67
20	17	66
21	18	65
22	19	64
23	19	63
24	20	62
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	24	55
31	25	53
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	28	47
38	29	45
39	29	44
40	30	43
41	30	42
42	31	41
43	31	40
44	32	39
45	32	38
46	33	37
47	33	36
48	34	35
49	34	34
50	35	33
51	35	33
52	36	32
53	36	31
54	37	30
55	37	29
56	38	28
57	38	28
58	39	27
59	39	26
60	40	25
61	40	24
62	41	24
63	41	23
64	42	22
65	42	22
66	43	21
67	43	20
68	44	19
69	44	19
70	45	18
71	45	17
72	46	17
73	46	16
74	47	15
75	47	15
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	7
87	53	7
88	54	6
89	54	6
90	55	5
91	55	4
92	56	4
93	56	3
94	57	3
95	57	2
96	57	1
97	58	1
98	59	0
99	59	0
